UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3146827,01/02/2015,16:50,,,,,,SOUTH 4 STREET,HAVEMEYER STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3146888,01/02/2015,16:50,,,40.7383414,-73.8048406,"(40.7383414, -73.8048406)",,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,UNSPECIFIED,UNSPECIFIED,,,
3146849,01/02/2015,16:59,QUEENS,11426,40.734792,-73.7201515,"(40.734792, -73.7201515)",HILLSIDE AVENUE,247 STREET,,0,0,0,0,0,0,0,0,UNKNOWN,UNKNOWN,,,,TURNING IMPROPERLY,PRESCRIPTION MEDICATION,,,
3162544,01/02/2015,17:00,BROOKLYN,11237,40.6988936,-73.9175218,"(40.6988936, -73.9175218)",MYRTLE AVENUE,BLEECKER STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146538,01/02/2015,17:00,QUEENS,11102,40.7680241,-73.9191113,"(40.7680241, -73.9191113)",28 AVENUE,32 STREET,,0,0,0,0,0,0,0,0,TAXI,,,,,UNSPECIFIED,UNSPECIFIED,,,
3146716,01/02/2015,17:00,,,,,,,,,2,0,0,0,0,0,2,0,LIVERY VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3146359,01/02/2015,17:10,BROOKLYN,11212,40.6577459,-73.905769,"(40.6577459, -73.905769)",,,F/O 568 OSBORN STREET,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146539,01/02/2015,17:15,,,,,,33 STREET,ASTORIA BOULEVARD SOUTH,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3147199,01/02/2015,17:20,BROOKLYN,11215,40.6714586,-73.9910238,"(40.6714586, -73.9910238)",9 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3146846,01/02/2015,17:20,,,,,,SOUTH ROAD,165 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3146657,01/02/2015,17:25,MANHATTAN,10030,40.818385,-73.9430937,"(40.818385, -73.9430937)",,,223 WEST 139 STREET,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,,,
3146790,01/02/2015,17:30,BROOKLYN,11208,40.6805926,-73.8734395,"(40.6805926, -73.8734395)",EUCLID AVENUE,GLEN STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,UNSPECIFIED,UNSPECIFIED,,,
3146355,01/02/2015,17:30,BROOKLYN,11220,40.6473458,-74.0079892,"(40.6473458, -74.0079892)",46 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,UNSPECIFIED,UNSPECIFIED,,,
3146370,01/02/2015,17:30,BROOKLYN,11239,40.6513555,-73.86881,"(40.6513555, -73.86881)",,,F/O 519 GATEWAY DRIVE,0,0,0,0,0,0,0,0,LIVERY VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
